Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
8/7/21,17:15 (12:15),Community Shield,FA Community Shield,Sat,Neutral,L,0,1,Leicester City,0,12,3,25,0,0,,,0,0,,,,,,Match Report
8/15/21,16:30 (11:30),Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,0,18,4,22.2,0,0,17.3,1,0,0,2,2,0.11,-2,-2,Match Report
8/21/21,15:00 (10:00),Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,4,16,4,25,0.25,1,18.5,1,0,0,2.7,2.7,0.17,1.3,1.3,Match Report
8/28/21,12:30 (07:30),Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,5,25,10,40,0.2,0.5,14.8,0,0,0,4,4,0.16,1,1,Match Report
9/11/21,15:00 (10:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,1,25,8,32,0.04,0.13,14.3,0,0,0,3.3,3.3,0.14,-2.3,-2.3,Match Report
9/15/21,20:00 (15:00),Champions Lg,Group stage,Wed,Home,W,6,3,de RB Leipzig,5,15,7,46.7,0.27,0.57,16.8,0,1,1,2.3,1.6,0.11,2.7,2.4,Match Report
9/18/21,15:00 (10:00),Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,0,16,1,6.3,0,0,16.4,1,0,0,1.2,1.2,0.07,-1.2,-1.2,Match Report
9/21/21,19:45 (14:45),EFL Cup,Third round,Tue,Home,W,6,1,Wycombe,6,26,14,53.8,0.23,0.43,,,0,0,,,,,,Match Report
9/25/21,12:30 (07:30),Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1,15,3,20,0.07,0.33,17.1,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Match Report
9/28/21,21:00 (15:00),Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,0,18,7,38.9,0,0,15.9,2,0,0,1.9,1.9,0.16,-1.9,-1.9,Match Report
10/3/21,16:30 (11:30),Premier League,Matchweek 7,Sun,Away,D,2,2,Liverpool,2,12,3,25,0.17,0.67,17,1,0,0,1.7,1.7,0.14,0.3,0.3,Match Report
10/16/21,15:00 (10:00),Premier League,Matchweek 8,Sat,Home,W,2,0,Burnley,2,15,6,40,0.13,0.33,14.4,0,0,0,2.2,2.2,0.15,-0.2,-0.2,Match Report
10/19/21,18:45 (12:45),Champions Lg,Group stage,Tue,Away,W,5,1,be Club Brugge,5,21,8,38.1,0.19,0.5,16.1,1,1,1,4.7,4,0.19,0.3,0,Match Report
10/23/21,17:30 (12:30),Premier League,Matchweek 9,Sat,Away,W,4,1,Brighton,4,23,12,52.2,0.17,0.33,16,1,0,0,4,4,0.2,0,0,Match Report
10/27/21,19:45 (14:45),EFL Cup,Fourth round,Wed,Away,D,0 (3),0 (5),West Ham,0,25,7,28,0,0,,,0,0,,,,,,Match Report
10/30/21,15:00 (10:00),Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,0,14,3,21.4,0,0,17.6,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Match Report
11/3/21,20:00 (16:00),Champions Lg,Group stage,Wed,Home,W,4,1,be Club Brugge,4,22,8,36.4,0.18,0.5,13.7,0,0,0,4.6,4.6,0.21,-0.6,-0.6,Match Report
11/6/21,12:30 (08:30),Premier League,Matchweek 11,Sat,Away,W,2,0,Manchester Utd,1,16,5,31.3,0.06,0.2,14.7,0,0,0,2.3,2.3,0.15,-1.3,-1.3,Match Report
11/21/21,14:00 (09:00),Premier League,Matchweek 12,Sun,Home,W,3,0,Everton,3,17,7,41.2,0.18,0.43,16.4,1,0,0,2.6,2.6,0.15,0.4,0.4,Match Report
11/24/21,20:00 (15:00),Champions Lg,Group stage,Wed,Home,W,2,1,fr Paris S-G,2,16,5,31.3,0.13,0.4,16.2,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Match Report
11/28/21,14:00 (09:00),Premier League,Matchweek 13,Sun,Home,W,2,1,West Ham,2,19,8,42.1,0.11,0.25,16,0,0,0,2.4,2.4,0.13,-0.4,-0.4,Match Report
12/1/21,20:15 (15:15),Premier League,Matchweek 14,Wed,Away,W,2,1,Aston Villa,2,17,7,41.2,0.12,0.29,19.2,1,0,0,1.2,1.2,0.07,0.8,0.8,Match Report
12/4/21,17:30 (12:30),Premier League,Matchweek 15,Sat,Away,W,3,1,Watford,3,26,12,46.2,0.12,0.25,14.4,0,0,0,3.5,3.5,0.14,-0.5,-0.5,Match Report
12/7/21,18:45 (12:45),Champions Lg,Group stage,Tue,Away,L,1,2,de RB Leipzig,1,13,3,23.1,0.08,0.33,17.1,3,0,0,1.2,1.2,0.09,-0.2,-0.2,Match Report
12/11/21,12:30 (07:30),Premier League,Matchweek 16,Sat,Home,W,1,0,Wolves,1,23,8,34.8,0,0,15.7,0,1,1,3.5,2.7,0.12,-2.5,-2.7,Match Report
12/14/21,20:00 (15:00),Premier League,Matchweek 17,Tue,Home,W,7,0,Leeds United,7,31,15,48.4,0.23,0.47,17.3,2,0,0,3.2,3.2,0.11,3.8,3.8,Match Report
12/19/21,14:15 (09:15),Premier League,Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,4,18,7,38.9,0.22,0.57,12.9,0,0,0,2.9,2.9,0.17,1.1,1.1,Match Report
12/26/21,15:00 (10:00),Premier League,Matchweek 19,Sun,Home,W,6,3,Leicester City,6,15,6,40,0.27,0.67,17.5,1,2,2,3.9,2.3,0.17,2.1,1.7,Match Report
12/29/21,20:15 (15:15),Premier League,Matchweek 20,Wed,Away,W,1,0,Brentford,1,12,3,25,0.08,0.33,19.8,0,0,0,1,1,0.08,0,0,Match Report
1/1/22,12:30 (07:30),Premier League,Matchweek 21,Sat,Away,W,2,1,Arsenal,2,14,1,7.1,0.07,1,18.7,0,1,1,2.2,1.4,0.11,-0.2,-0.4,Match Report
1/7/22,20:00 (15:00),FA Cup,Third round proper,Fri,Away,W,4,1,Swindon Town,4,23,9,39.1,0.17,0.44,,,0,1,,,,,,Match Report
1/15/22,12:30 (07:30),Premier League,Matchweek 22,Sat,Home,W,1,0,Chelsea,1,11,6,54.5,0.09,0.17,16.5,1,0,0,0.9,0.9,0.09,0.1,0.1,Match Report
1/22/22,17:30 (12:30),Premier League,Matchweek 23,Sat,Away,D,1,1,Southampton,1,20,5,25,0.05,0.2,17.5,0,0,0,1.9,1.9,0.09,-0.9,-0.9,Match Report
2/5/22,15:00 (10:00),FA Cup,Fourth round proper,Sat,Home,W,4,1,Fulham,4,19,6,31.6,0.16,0.5,,,1,1,,,,,,Match Report
2/9/22,19:45 (14:45),Premier League,Matchweek 24,Wed,Home,W,2,0,Brentford,2,14,6,42.9,0.07,0.17,19.8,0,1,1,1.8,1,0.07,0.2,0,Match Report
2/12/22,17:30 (12:30),Premier League,Matchweek 25,Sat,Away,W,4,0,Norwich City,4,21,8,38.1,0.19,0.5,11.8,0,0,1,4.9,4,0.21,-0.9,0,Match Report
2/15/22,20:00 (15:00),Champions Lg,Round of 16,Tue,Away,W,5,0,pt Sporting CP,5,15,6,40,0.33,0.83,15.3,0,0,0,2.1,2.1,0.14,2.9,2.9,Match Report
2/19/22,17:30 (12:30),Premier League,Matchweek 26,Sat,Home,L,2,3,Tottenham,2,20,3,15,0.05,0.33,16.2,0,1,1,2.6,1.8,0.09,-0.6,-0.8,Match Report
2/26/22,17:30 (12:30),Premier League,Matchweek 27,Sat,Away,W,1,0,Everton,1,13,8,61.5,0.08,0.13,16.3,0,0,0,1.9,1.9,0.15,-0.9,-0.9,Match Report
3/1/22,19:15 (14:15),FA Cup,Fifth round proper,Tue,Away,W,2,0,P'borough Utd,2,23,5,21.7,0.09,0.4,,,0,0,,,,,,Match Report
3/6/22,16:30 (11:30),Premier League,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,4,24,10,41.7,0.17,0.4,15.2,1,0,0,3.1,3.1,0.14,0.9,0.9,Match Report
3/9/22,20:00 (15:00),Champions Lg,Round of 16,Wed,Home,D,0,0,pt Sporting CP,0,14,4,28.6,0,0,17.1,1,0,0,1.5,1.5,0.11,-1.5,-1.5,Match Report
3/14/22,20:00 (16:00),Premier League,Matchweek 29,Mon,Away,D,0,0,Crystal Palace,0,19,4,21.1,0,0,17.2,0,0,0,2.9,2.9,0.16,-2.9,-2.9,Match Report
3/20/22,15:00 (11:00),FA Cup,Quarter-finals,Sun,Away,W,4,1,Southampton,4,19,6,31.6,0.16,0.5,,,1,1,,,,,,Match Report
4/2/22,15:00 (10:00),Premier League,Matchweek 31,Sat,Away,W,2,0,Burnley,2,18,6,33.3,0.11,0.33,16.5,0,0,0,2,2,0.11,0,0,Match Report
4/5/22,20:00 (15:00),Champions Lg,Quarter-finals,Tue,Home,W,1,0,es Atlético Madrid,1,15,2,13.3,0.07,0.5,18.9,1,0,0,1,1,0.07,0,0,Match Report
4/10/22,16:30 (11:30),Premier League,Matchweek 32,Sun,Home,D,2,2,Liverpool,2,11,4,36.4,0.18,0.5,17.8,1,0,0,1.6,1.6,0.15,0.4,0.4,Match Report
4/13/22,21:00 (15:00),Champions Lg,Quarter-finals,Wed,Away,D,0,0,es Atlético Madrid,0,10,1,10,0,0,16.6,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Match Report
4/16/22,15:30 (10:30),FA Cup,Semi-finals,Sat,Home,L,2,3,Liverpool,2,10,6,60,0.2,0.33,,,0,0,,,,,,Match Report
4/20/22,20:00 (15:00),Premier League,Matchweek 30,Wed,Home,W,3,0,Brighton,3,17,5,29.4,0.18,0.6,20,0,0,0,1.6,1.6,0.09,1.4,1.4,Match Report
4/23/22,15:00 (10:00),Premier League,Matchweek 34,Sat,Home,W,5,1,Watford,5,20,7,35,0.2,0.57,14.6,0,1,1,3.9,3.1,0.16,1.1,0.9,Match Report
4/26/22,20:00 (15:00),Champions Lg,Semi-finals,Tue,Home,W,4,3,es Real Madrid,4,16,5,31.3,0.25,0.8,14.7,1,0,0,2.7,2.7,0.18,1.3,1.3,Match Report
4/30/22,17:30 (12:30),Premier League,Matchweek 35,Sat,Away,W,4,0,Leeds United,4,19,6,31.6,0.21,0.67,16.2,0,0,0,2.5,2.5,0.13,1.5,1.5,Match Report
5/4/22,21:00 (15:00),Champions Lg,Semi-finals,Wed,Away,L,1,3,es Real Madrid,1,15,9,60,0.07,0.11,18.1,1,0,0,1.4,1.4,0.1,-0.4,-0.4,Match Report
5/8/22,16:30 (11:30),Premier League,Matchweek 36,Sun,Home,W,5,0,Newcastle Utd,5,21,9,42.9,0.24,0.56,16,1,0,0,3.3,3.3,0.17,1.7,1.7,Match Report
5/11/22,20:15 (15:15),Premier League,Matchweek 33,Wed,Away,W,5,1,Wolves,5,15,5,33.3,0.33,1,14.7,0,0,0,2.8,2.8,0.2,2.2,2.2,Match Report
5/15/22,14:00 (09:00),Premier League,Matchweek 37,Sun,Away,D,2,2,West Ham,1,30,7,23.3,0.03,0.14,18.6,2,0,1,2.9,2.1,0.07,-1.9,-1.1,Match Report
5/22/22,16:00 (11:00),Premier League,Matchweek 38,Sun,Home,W,3,2,Aston Villa,3,24,5,20.8,0.13,0.6,14.2,1,0,0,3.7,3.7,0.16,-0.7,-0.7,Match Report
,,,,,,41-9-8,150,50,,146,1051,358,34.1,0.13,0.38,16.3,27,11,14,123.2,114.4,0.13,22.8,20.6,